id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
1397438,,GVR Training Computer Software,gvr-training-computer-software,30,13,13,0,104640,0,8049,13,0,0,0,0,100,0,0,0,0,0,
41662,,Rosa Special Studio,rosa-special-studio,30,3,3,2,104636,26774,34879,4,20,80,20,80,100,0,20,100,0,0,
3135641,,Grand Technology Associates,grand-technology-associates,30,3,3,1,104636,26774,34879,3,25,75,25,75,100,0,25,100,0,0,
21954,,On5,on5,30,1,1,0,104597,0,104597,1,100,100,100,0,0,0,0,0,100,100,Lithuania
20280,,Magnolia Art,magnolia-art,30,3,3,0,104588,52069,34863,3,100,67,67,33,0,0,0,33,0,0,
8603827,,游影互娱,-,30,1,1,0,104559,104559,104559,1,100,0,100,100,100,100,100,0,0,0,
23997,,Tazdraperm,tazdraperm,30,7,7,1,104492,5737,14927,0,100,25,25,13,0,75,0,0,0,0,
27449,,Cabbit,cabbit,30,3,3,0,104475,18472,34825,0,67,0,33,67,0,0,67,0,0,0,Japan
18143,,Kodansha VR Lab,kodansha-vr-lab,30,10,10,0,104422,7052,10442,0,0,0,100,20,20,0,0,0,0,0,
3878975,,LCGaming,lcgaming,30,2,2,0,104411,52206,52206,2,50,100,0,100,0,0,0,0,0,0,
10220,,Yang Sun,yang-sun,30,8,8,0,104362,327,13045,8,100,0,75,13,13,63,0,0,0,0,
7959,,Studio Gauntlet,studio-gauntlet,30,3,3,0,104190,4773,34730,2,100,67,67,33,67,33,0,0,33,67,
36833,,Waving Bear Studio,waving-bear-studio,30,1,1,0,104156,104156,104156,0,100,100,100,0,0,0,0,0,0,0,
5005452,,BFS,bfs,30,1,1,0,104081,104081,104081,0,0,0,100,100,0,100,100,0,0,0,
33681,,Gregory Adam Scott,gregory-adam-scott,30,2,2,0,104079,104079,52040,2,0,0,0,0,50,100,50,0,0,0,
50097,,SuperPAC,superpac,30,1,1,0,104035,104035,104035,0,0,0,0,100,100,100,0,0,0,0,
1640553,,Quadruple-Q,quadruple-q,30,1,1,0,103898,103898,103898,1,0,0,100,100,100,0,0,0,0,0,
87686,,Disillusion Dev,disillusion-dev,30,2,2,0,103855,51928,51928,2,100,50,0,100,0,0,50,0,0,0,
398415,,雨夜枫雪制作组,-,30,1,1,0,103810,103810,103810,1,100,100,0,0,0,0,0,0,0,0,
32429,,Somer Games,somer-games,30,70,70,0,103767,723,1482,0,3,0,100,9,0,1,0,0,0,0,
519,,StormBringer Studios OU,stormbringer-studios-ou,30,1,1,1,103759,103759,103759,2,100,100,50,50,0,0,50,0,0,0,
16042,,CodeBullet,codebullet,30,1,1,0,103749,103749,103749,1,100,100,100,100,100,0,100,0,0,0,
43623,,Rat Cliff Games,rat-cliff-games,30,2,2,0,103745,51873,51873,2,100,100,0,100,0,0,0,0,0,0,Spain
1635528,,potentknight,potentknight,30,1,1,1,103725,103725,103725,2,100,100,50,0,0,50,0,0,0,0,
14648,,Rude Ghost,rude-ghost,30,2,2,0,103693,51847,51847,1,100,50,50,0,50,0,0,0,0,0,
43314,,Virtuaport,virtuaport,30,1,1,0,103644,103644,103644,1,0,100,0,0,100,0,0,0,0,0,
47634,,Cathuria Games,cathuria-games,30,1,1,0,103599,103599,103599,0,100,100,0,100,0,0,0,0,0,0,
1751,,Creative Concepts,creative-concepts,30,1,1,0,103414,103414,103414,1,100,100,0,0,100,0,0,0,0,100,
47851,,Kerzoven,kerzoven,30,1,1,0,103408,103408,103408,1,100,0,0,0,100,100,0,0,0,0,
11970,,Freetime Studio,freetime-studio,30,2,2,0,103390,51695,51695,1,50,50,50,50,50,0,50,0,0,0,
1564,,FHNBHJ,fhnbhj,30,5,5,1,103359,51680,20672,2,100,0,0,100,0,83,100,0,0,0,
36159,,G-DEVS.com,g-devs-com,30,2,2,3,103340,103340,51670,2,100,60,40,40,40,20,60,0,0,0,
32067,,Panos Tzimas,panos-tzimas,30,1,1,0,103319,103319,103319,0,100,0,100,0,100,0,0,0,0,0,
504454,,株式会社Mogura,mogura,30,1,1,0,103298,103298,103298,0,0,0,0,100,0,0,0,0,0,0,
30677,,Gl33k,gl33k,30,1,1,0,103297,103297,103297,0,100,0,100,0,0,0,0,0,0,0,
32720,,One More Dream Studios,one-more-dream-studios,30,1,1,1,103275,103275,103275,1,100,50,0,100,0,0,0,0,0,0,
25127,,Figurehead Studios,figurehead-studios,30,1,1,0,103267,103267,103267,0,0,100,0,100,0,0,100,0,0,0,
3650613,,Brettpenzer123,brettpenzer123,30,2,2,0,103241,51621,51621,2,100,0,100,50,100,50,50,0,0,0,
51125,,Amanito Computing,amanito-computing,30,1,1,1,103210,103210,103210,2,100,100,0,50,0,0,0,0,0,0,
8094,,Monochrome Paris,monochrome-paris,30,2,2,1,103159,51580,51580,2,100,100,0,67,0,0,0,0,0,0,
36686,,HeyNau,heynau,30,3,3,0,103153,7981,34384,3,67,0,100,0,33,0,0,33,0,0,
88376,,studio doodal,studio-doodal,30,1,1,1,103128,103128,103128,2,100,100,0,100,0,0,0,0,0,0,South Korea
2784,,UNBALANCE Corporation,unbalance-corporation,30,2,2,0,103070,51535,51535,2,0,0,100,0,0,100,0,0,0,0,
11606,,Dreamteck,dreamteck,30,1,1,1,102948,102948,102948,1,100,50,50,100,0,0,0,0,50,50,
12632,,Hörberg Productions,h-rberg-productions,30,5,5,0,102909,8840,20582,4,100,100,0,0,0,0,0,0,0,0,
43666,,"Soft Not Weak, LLC",soft-not-weak-llc,30,1,1,0,102861,102861,102861,1,100,0,100,0,0,0,0,0,0,0,
4688,,Among Giants,among-giants,30,3,3,0,102773,35959,34258,1,67,67,0,100,33,0,67,0,0,0,
8961399,,LuminatiGames,luminatigames,30,3,3,1,102723,11255,34241,4,50,0,100,50,50,25,25,0,0,0,
940051,,RisingPunch Studio,risingpunch-studio,30,1,1,0,102627,102627,102627,1,0,0,0,0,100,100,100,0,0,0,
5520757,,NoEye-Soft,noeye-soft,30,1,1,0,102595,102595,102595,1,100,0,0,0,0,0,100,0,0,0,
6898865,,鸭子与葱制作组,-,30,1,1,0,102580,102580,102580,0,100,0,0,100,100,0,0,0,0,0,
33021,,Chillax Games Studio,chillax-games-studio,30,1,1,0,102489,102489,102489,1,100,0,100,0,0,100,0,0,0,0,
28808,,Atomicom Limited,atomicom-limited,30,1,1,0,102403,102403,102403,0,100,100,0,0,0,0,0,0,100,0,
19887,,electrolyte,electrolyte,30,2,2,1,102369,51185,51185,3,67,67,0,0,0,33,0,0,0,33,
41768,,One Up Plus,one-up-plus,30,3,3,3,102349,22730,34116,4,100,33,33,33,0,67,33,0,0,0,
1396181,,Undreamed Games,undreamed-games,30,2,2,0,102298,102298,51149,0,50,100,0,0,0,0,0,0,0,0,Netherlands
1641854,,Enter Games,enter-games,30,1,1,0,102249,102249,102249,0,100,0,0,100,100,0,100,0,0,0,
611244,,青衣工作室,-,30,2,2,0,102202,51101,51101,2,100,0,0,100,0,50,100,0,0,0,
19233,,The Foundry,the-foundry,30,1,1,0,102171,0,102171,1,0,0,0,0,0,0,0,0,0,0,
10432,,Rogue Earth LLC,rogue-earth-llc,30,2,2,0,102131,0,51066,1,100,100,50,0,0,50,0,0,0,0,United States
38763,,Everplay Interactive,everplay-interactive,30,1,1,0,102091,102091,102091,0,100,100,0,100,0,0,0,0,0,0,
